record_id,entity_type,entity_id,issuer_id,legal_entity_id,plant_id,group_id,name,layer,registration_source,source_url,query_date,record_status,double_count_key,double_count_rule,aggregation_policy,product_scope,notes
frozen:l2-twse-1101,issuer,issuer:TW:1101,issuer:TW:1101,-,-,-,台泥,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1101,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1102,issuer,issuer:TW:1102,issuer:TW:1102,-,-,-,亞泥,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1102,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1103,issuer,issuer:TW:1103,issuer:TW:1103,-,-,-,嘉泥,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1103,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1104,issuer,issuer:TW:1104,issuer:TW:1104,-,-,-,環泥,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1104,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1108,issuer,issuer:TW:1108,issuer:TW:1108,-,-,-,幸福,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1108,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1109,issuer,issuer:TW:1109,issuer:TW:1109,-,-,-,信大,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1109,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1110,issuer,issuer:TW:1110,issuer:TW:1110,-,-,-,東泥,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1110,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1201,issuer,issuer:TW:1201,issuer:TW:1201,-,-,-,味全,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1201,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1203,issuer,issuer:TW:1203,issuer:TW:1203,-,-,-,味王,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1203,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
frozen:l2-twse-1210,issuer,issuer:TW:1210,issuer:TW:1210,-,-,-,大成,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,已冻结,l2:TWSE:1210,无,不适用,L2 台湾上市/上柜发行人机械母集；不含兴柜；不证明 PCB 主营或中国大陆产能,H1 人闸批准 2026-08-28 TWSE+TPEx 快照；仅冻结发行人母集身份。
