evidence_id,publisher,title,source_url,publication_date,retrieval_date,source_role,independence_group,locator,excerpt,access_status
EVD-001,NASA,NASA-STD-8739.1B Workmanship Standard for Polymeric Application on Electronic Assemblies,https://standards.nasa.gov/sites/default/files/standards/NASA/B/2/nasa-std-87391B-Change-2.pdf,-,2026-08-28,primary_standard,NASA,Definitions,区分含点到点互连的 PCB 与由 PCB 元件和相关材料组成的 PWA,accessible
EVD-002,Isola,Understanding Laminate and Prepreg Manufacturing,https://isola-group.com/wp-content/uploads/Understanding-Laminate-Prepreg-Manufacturing.pdf,-,2026-08-28,primary_company,Isola,Material building blocks and loss tangent sections,典型层压材料的构成块为玻纤树脂和铜且损耗角正切影响高速衰减,accessible
EVD-003,DuPont,Pyralux AP Data Sheet,https://www.dupont.com/content/dam/dupont/amer/us/en/ei-transformation/public/documents/en/EI-10124-Pyralux-AP-Data-Sheet.pdf,-,2026-08-28,primary_company,DuPont,Product construction,该产品是无胶全聚酰亚胺双面覆铜层压板并构成无玻纤 CCL 反例,accessible
EVD-004,Isola,G200 Laminate and Prepreg Processing Guide,https://www.isola-group.com/wp-content/uploads/data-sheets/g200-laminate-and-prepreg_Processing_Guide_new.pdf,-,2026-08-28,primary_company,Isola,Laminate and prepreg definitions,区分部分聚合树脂浸渍玻纤的 prepreg 与完全固化可加工的 laminate,accessible
EVD-005,Isola,Making Sense of Laminate Dielectric Properties,https://test.isola-group.com/wp-content/uploads/Making-Sense-of-Laminate-Dielectric-Properties.pdf,-,2026-08-28,primary_company,Isola,Test vehicle stack-up,同一测试结构同时列出 1080 prepreg 与 1080 laminate,accessible
EVD-006,NASA,Building Reliable Printed Circuit Boards,https://ntrs.nasa.gov/api/citations/20190001381/downloads/20190001381.pdf,2019,2026-08-28,primary_standard,NASA,Materials and manufacturing flow,展示从玻纤树脂铜箔到 core 以及内层图形压合钻孔镀铜和外层图形的流程,accessible
EVD-007,ECSS,ECSS-Q-ST-70-08C Manual Soldering of High-Reliability Electrical Connections,https://ecss.nl/wp-content/uploads/standards/ecss-q/ECSS-Q-ST-70-08C6March2009.pdf,2009-03-06,2026-08-28,primary_standard,ECSS,Terms and definitions,定义镀通孔为孔内沉积金属且可形成双面或多层板的层间连接,accessible
EVD-008,NASA NEPP,Microvia Technology Body of Knowledge,https://nepp.nasa.gov/docuploads/136AC3F6-8535-4E65-A0AD21B31AD56513/Microvia-2005E-Final-9-06.pdf,2006,2026-08-28,primary_standard,NASA,Technology evolution and multilayer structures,把多层演进与更高封装密度性能传播速度和引脚数联系并讨论电源地平面,accessible
EVD-009,Texas Instruments,High-Speed Interface Layout Guidelines,https://www.ti.com/lit/an/spraar7j/spraar7j.pdf,-,2026-08-28,primary_company,Texas-Instruments,Reference planes crosstalk impedance and vias,要求连续参考平面并说明串扰过孔阻抗不连续 via stub 及背钻约束,accessible
EVD-010,Intel,AN 958 Board Design Guidelines for Agilex 7 Devices,https://cdrdv2-public.intel.com/677286/an958-683073-677286.pdf,-,2026-08-28,primary_company,Intel,Stack-up and reference-plane guidance,讨论参考平面分割阻抗不连续层间耦合以及部分约束下增加层数的必要性,accessible
