record_id,entity_type,entity_id,issuer_id,legal_entity_id,plant_id,group_id,name,layer,registration_source,source_url,query_date,record_status,double_count_key,double_count_rule,aggregation_policy,product_scope,notes
cand:l1b-cn-600183,issuer,issuer:CN:600183,issuer:CN:600183,-,-,-,生益科技,L1-B,巨潮资讯法定披露检索入口（主体索引）,https://www.cninfo.com.cn/new/fulltextSearch?keyWord=600183,2026-08-28,待核,l1b:CN:600183,无,不适用,M1材料候选；不得入统计,仅证明发行人披露入口；主营/集团/厂址/产品范围待人工裁决; anchor_url=source_url; retrieved_on=2026-08-28; quote=600183; verdict=L1-B-candidate-pending-human-gate
cand:l1b-cn-688519,issuer,issuer:CN:688519,issuer:CN:688519,-,-,-,南亚新材,L1-B,巨潮资讯法定披露检索入口（主体索引）,https://www.cninfo.com.cn/new/fulltextSearch?keyWord=688519,2026-08-28,待核,l1b:CN:688519,无,不适用,M1材料候选；不得入统计,仅证明发行人披露入口；主营/厂址/产品范围待人工裁决; anchor_url=source_url; retrieved_on=2026-08-28; quote=688519; verdict=L1-B-candidate-pending-human-gate
cand:l1b-cn-603186,issuer,issuer:CN:603186,issuer:CN:603186,-,-,-,华正新材,L1-B,巨潮资讯法定披露检索入口（主体索引）,https://www.cninfo.com.cn/new/fulltextSearch?keyWord=603186,2026-08-28,待核,l1b:CN:603186,无,不适用,M1材料候选；不得入统计,仅证明发行人披露入口；主营/厂址/产品范围待人工裁决; anchor_url=source_url; retrieved_on=2026-08-28; quote=603186; verdict=L1-B-candidate-pending-human-gate
cand:l1b-cn-002636,issuer,issuer:CN:002636,issuer:CN:002636,-,-,-,金安国纪,L1-B,巨潮资讯法定披露检索入口（主体索引）,https://www.cninfo.com.cn/new/fulltextSearch?keyWord=002636,2026-08-28,待核,l1b:CN:002636,无,不适用,M1材料候选；不得入统计,仅证明发行人披露入口；主营/厂址/产品范围待人工裁决; anchor_url=source_url; retrieved_on=2026-08-28; quote=002636; verdict=L1-B-candidate-pending-human-gate
cand:l1b-cn-300936,issuer,issuer:CN:300936,issuer:CN:300936,-,-,-,中英科技,L1-B,巨潮资讯法定披露检索入口（主体索引）,https://www.cninfo.com.cn/new/fulltextSearch?keyWord=300936,2026-08-28,待核,l1b:CN:300936,无,不适用,M1材料候选；不得入统计,仅证明发行人披露入口；高频材料范围待人工裁决; anchor_url=source_url; retrieved_on=2026-08-28; quote=300936; verdict=L1-B-candidate-pending-human-gate
cand:l1b-cn-603256,issuer,issuer:CN:603256,issuer:CN:603256,-,-,-,宏和科技,L1-B,巨潮资讯法定披露检索入口（主体索引）,https://www.cninfo.com.cn/new/fulltextSearch?keyWord=603256,2026-08-28,待核,l1b:CN:603256,无,不适用,M5材料候选；不得入统计,仅证明发行人披露入口；电子布/电子纱范围待人工裁决; anchor_url=source_url; retrieved_on=2026-08-28; quote=603256; verdict=L1-B-candidate-pending-human-gate
cand:l1b-cn-601208,issuer,issuer:CN:601208,issuer:CN:601208,-,-,-,东材科技,L1-B,巨潮资讯法定披露检索入口（主体索引）,https://www.cninfo.com.cn/new/fulltextSearch?keyWord=601208,2026-08-28,待核,l1b:CN:601208,无,不适用,M4材料候选；不得入统计,仅证明发行人披露入口；电子级树脂与其他业务待拆; anchor_url=source_url; retrieved_on=2026-08-28; quote=601208; verdict=L1-B-candidate-pending-human-gate
cand:l1b-cn-605589,issuer,issuer:CN:605589,issuer:CN:605589,-,-,-,圣泉集团,L1-B,巨潮资讯法定披露检索入口（主体索引）,https://www.cninfo.com.cn/new/fulltextSearch?keyWord=605589,2026-08-28,待核,l1b:CN:605589,无,不适用,M4材料候选；不得入统计,仅证明发行人披露入口；电子树脂与集团范围待人工裁决; anchor_url=source_url; retrieved_on=2026-08-28; quote=605589; verdict=L1-B-candidate-pending-human-gate
cand:l1b-cn-688020,issuer,issuer:CN:688020,issuer:CN:688020,-,-,-,方邦股份,L1-B,巨潮资讯法定披露检索入口（主体索引）,https://www.cninfo.com.cn/new/fulltextSearch?keyWord=688020,2026-08-28,待核,l1b:CN:688020,无,不适用,FLX材料候选；不得入统计,仅证明发行人披露入口；FPC材料产品范围待人工裁决; anchor_url=source_url; retrieved_on=2026-08-28; quote=688020; verdict=L1-B-candidate-pending-human-gate
cand:l1b-cn-002741,issuer,issuer:CN:002741,issuer:CN:002741,-,-,-,光华科技,L1-B,巨潮资讯法定披露检索入口（主体索引）,https://www.cninfo.com.cn/new/fulltextSearch?keyWord=002741,2026-08-28,待核,l1b:CN:002741,无,不适用,PM2材料候选；不得入统计,仅证明发行人披露入口；PCB化学品与其他业务待拆; anchor_url=source_url; retrieved_on=2026-08-28; quote=002741; verdict=L1-B-candidate-pending-human-gate
cand:l1b-cn-300537,issuer,issuer:CN:300537,issuer:CN:300537,-,-,-,广信材料,L1-B,巨潮资讯法定披露检索入口（主体索引）,https://www.cninfo.com.cn/new/fulltextSearch?keyWord=300537,2026-08-28,待核,l1b:CN:300537,无,不适用,MSK/PM1材料候选；不得入统计,仅证明发行人披露入口；油墨/光刻材料范围待人工裁决; anchor_url=source_url; retrieved_on=2026-08-28; quote=300537; verdict=L1-B-candidate-pending-human-gate
cand:l1b-cn-300576,issuer,issuer:CN:300576,issuer:CN:300576,-,-,-,容大感光,L1-B,巨潮资讯法定披露检索入口（主体索引）,https://www.cninfo.com.cn/new/fulltextSearch?keyWord=300576,2026-08-28,待核,l1b:CN:300576,无,不适用,MSK/PM1材料候选；不得入统计,仅证明发行人披露入口；PCB感光材料范围待人工裁决; anchor_url=source_url; retrieved_on=2026-08-28; quote=300576; verdict=L1-B-candidate-pending-human-gate
cand:l1b-cn-300236,issuer,issuer:CN:300236,issuer:CN:300236,-,-,-,上海新阳,L1-B,巨潮资讯法定披露检索入口（主体索引）,https://www.cninfo.com.cn/new/fulltextSearch?keyWord=300236,2026-08-28,待核,l1b:CN:300236,无,不适用,PM2材料候选；不得入统计,仅证明发行人披露入口；PCB化学品与半导体业务待拆; anchor_url=source_url; retrieved_on=2026-08-28; quote=300236; verdict=L1-B-candidate-pending-human-gate
