record_id,entity_type,entity_id,issuer_id,legal_entity_id,plant_id,group_id,name,layer,registration_source,source_url,query_date,record_status,double_count_key,double_count_rule,aggregation_policy,product_scope,notes
frozen:h3-cn-002463,issuer,issuer:CN:002463,issuer:CN:002463,-,-,-,沪电股份,L1-A,H3 人闸批准的发行人原始披露锚,https://static.cninfo.com.cn/finalpage/2025-03-26/1222896592.PDF,2026-08-28,已冻结,l1a:CN:002463,无,不适用,FAB1/普通刚性；发行人能力点，不代表厂址产能,H3 仅批准发行人及窄范围能力点/披露快照；法人、厂址和物理流未补齐时不得推断。
frozen:h3-cn-300476,issuer,issuer:CN:300476,issuer:CN:300476,-,-,-,胜宏科技,L1-A,H3 人闸批准的发行人原始披露锚,https://static.cninfo.com.cn/finalpage/2025-03-29/1222949182.PDF,2026-08-28,已冻结,l1a:CN:300476,无,不适用,FAB1/普通刚性+HDI；发行人能力点，不代表厂址产能,H3 仅批准发行人及窄范围能力点/披露快照；法人、厂址和物理流未补齐时不得推断。
frozen:h3-cn-688183,issuer,issuer:CN:688183,issuer:CN:688183,-,-,-,生益电子,L1-A,H3 人闸批准的发行人原始披露锚,https://static.cninfo.com.cn/finalpage/2025-03-28/1222921458.PDF,2026-08-28,已冻结,l1a:CN:688183,无,不适用,FAB1/普通刚性；与生益科技禁止加总,H3 仅批准发行人及窄范围能力点/披露快照；法人、厂址和物理流未补齐时不得推断。
frozen:h3-cn-600183,issuer,issuer:CN:600183,issuer:CN:600183,-,-,-,生益科技,L1-B,H3 人闸批准的发行人原始披露锚,https://static.cninfo.com.cn/finalpage/2025-03-29/1222952359.PDF,2026-08-28,已冻结,l1b:CN:600183,无,不适用,M1/普通刚性；CCL 材料点，与生益电子禁止加总,H3 仅批准发行人及窄范围能力点/披露快照；法人、厂址和物理流未补齐时不得推断。
frozen:h3-cn-603256,issuer,issuer:CN:603256,issuer:CN:603256,-,-,-,宏和科技,L1-B,H3 人闸批准的发行人原始披露锚,https://static.cninfo.com.cn/finalpage/2025-08-28/1224595204.PDF,2026-08-28,已冻结,l1b:CN:603256,无,不适用,M5/普通刚性；电子玻纤布/纱材料点,H3 仅批准发行人及窄范围能力点/披露快照；法人、厂址和物理流未补齐时不得推断。
frozen:h3-cn-601208,issuer,issuer:CN:601208,issuer:CN:601208,-,-,-,东材科技,L1-B,H3 人闸批准的发行人原始披露锚,https://static.cninfo.com.cn/finalpage/2025-04-25/1223283844.PDF,2026-08-28,已冻结,l1b:CN:601208,无,不适用,M4/普通刚性；电子级树脂材料点,H3 仅批准发行人及窄范围能力点/披露快照；法人、厂址和物理流未补齐时不得推断。
frozen:h3-cn-301200,issuer,issuer:CN:301200,issuer:CN:301200,-,-,-,大族数控,L1-C,H3 人闸批准的发行人原始披露锚,https://static.cninfo.com.cn/finalpage/2025-04-21/1223153294.PDF,2026-08-28,已冻结,l1c:CN:301200,无,不适用,EQ2+EQ6/普通刚性；设备供应点，不反推客户装机,H3 仅批准发行人及窄范围能力点/披露快照；法人、厂址和物理流未补齐时不得推断。
frozen:h3-cn-688700,issuer,issuer:CN:688700,issuer:CN:688700,-,-,-,东威科技,L1-C,H3 人闸批准的发行人原始披露锚,https://static.cninfo.com.cn/finalpage/2025-04-26/1223322879.PDF,2026-08-28,已冻结,l1c:CN:688700,无,不适用,EQ3/普通刚性；设备供应点，不反推客户装机,H3 仅批准发行人及窄范围能力点/披露快照；法人、厂址和物理流未补齐时不得推断。
frozen:h3-cn-688630,issuer,issuer:CN:688630,issuer:CN:688630,-,-,-,芯碁微装,L1-C,H3 人闸批准的发行人原始披露锚,https://static.cninfo.com.cn/finalpage/2025-04-24/1223241180.PDF,2026-08-28,已冻结,l1c:CN:688630,无,不适用,EQ1/普通刚性；设备供应点，不反推客户装机,H3 仅批准发行人及窄范围能力点/披露快照；法人、厂址和物理流未补齐时不得推断。
frozen:h3-cn-603328,issuer,issuer:CN:603328,issuer:CN:603328,-,-,-,依顿电子,L1-A,H3 人闸批准的发行人原始披露锚,https://zsepb.zs.gov.cn/xxml/ztzl/gcjslyxmxx/ssthjjhpspgs/spqgs/content/post_2457618.html,2026-08-28,已冻结,l1a:CN:603328,无,不适用,FAB1 披露快照；弱产能上界，不作强天顶,H3 仅批准发行人及窄范围能力点/披露快照；法人、厂址和物理流未补齐时不得推断。
frozen:h3-cn-603228,issuer,issuer:CN:603228,issuer:CN:603228,-,-,-,景旺电子,L1-A,H3 人闸批准的发行人原始披露锚,https://static.cninfo.com.cn/finalpage/2025-04-29/1223377812.PDF,2026-08-28,已冻结,l1a:CN:603228,无,不适用,FAB1 发行人合并披露快照；禁止厂址物理聚合,H3 仅批准发行人及窄范围能力点/披露快照；法人、厂址和物理流未补齐时不得推断。
frozen:h3-cn-002916,issuer,issuer:CN:002916,issuer:CN:002916,-,-,-,深南电路,L1-A,H3 人闸批准的发行人原始披露锚,https://static.cninfo.com.cn/finalpage/2025-03-13/1222778134.PDF,2026-08-28,已冻结,l1a:CN:002916,无,不适用,FAB1+FAB2 披露分列；收入不得换算面积或跨 FAB 加总,H3 仅批准发行人及窄范围能力点/披露快照；法人、厂址和物理流未补齐时不得推断。
frozen:h3-cn-002436,issuer,issuer:CN:002436,issuer:CN:002436,-,-,-,兴森科技,L1-A,H3 人闸批准的发行人原始披露锚,https://static.cninfo.com.cn/finalpage/2023-04-07/1216355714.PDF,2026-08-28,已冻结,l1a:CN:002436,无,不适用,FAB2 建成/披露快照；约数不作强天顶,H3 仅批准发行人及窄范围能力点/披露快照；法人、厂址和物理流未补齐时不得推断。
