record_id,entity_type,entity_id,issuer_id,legal_entity_id,plant_id,group_id,name,layer,registration_source,source_url,query_date,record_status,double_count_key,double_count_rule,aggregation_policy,product_scope,notes
cand:l1a-cn-002463,issuer,issuer:CN:002463,issuer:CN:002463,-,-,-,沪电股份,L1-A,巨潮资讯法定披露检索入口（主体索引）,https://www.cninfo.com.cn/new/fulltextSearch?keyWord=002463,2026-08-28,待核,l1a:CN:002463,无,不适用,FAB1/PCB裸板候选；不得入统计,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""002463""；判定类别=L1-A种子/待人工裁决。该锚仅证明法定披露主体检索入口，不证明PCB主营、厂址或中国大陆产能；须补年报主营段并由人工裁决。"
cand:l1a-cn-002916,issuer,issuer:CN:002916,issuer:CN:002916,-,-,-,深南电路,L1-A,巨潮资讯法定披露检索入口（主体索引）,https://www.cninfo.com.cn/new/fulltextSearch?keyWord=002916,2026-08-28,待核,l1a:CN:002916,无,不适用,FAB1/PCB裸板候选；不得入统计,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""002916""；判定类别=L1-A种子/待人工裁决。该锚仅证明法定披露主体检索入口，不证明PCB主营、厂址或中国大陆产能；须补年报主营段并由人工裁决。"
cand:l1a-cn-300476,issuer,issuer:CN:300476,issuer:CN:300476,-,-,-,胜宏科技,L1-A,巨潮资讯法定披露检索入口（主体索引）,https://www.cninfo.com.cn/new/fulltextSearch?keyWord=300476,2026-08-28,待核,l1a:CN:300476,无,不适用,FAB1/PCB裸板候选；不得入统计,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""300476""；判定类别=L1-A种子/待人工裁决。该锚仅证明法定披露主体检索入口，不证明PCB主营、厂址或中国大陆产能；须补年报主营段并由人工裁决。"
cand:l1a-cn-603228,issuer,issuer:CN:603228,issuer:CN:603228,-,-,-,景旺电子,L1-A,巨潮资讯法定披露检索入口（主体索引）,https://www.cninfo.com.cn/new/fulltextSearch?keyWord=603228,2026-08-28,待核,l1a:CN:603228,无,不适用,FAB1/PCB裸板候选；不得入统计,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""603228""；判定类别=L1-A种子/待人工裁决。该锚仅证明法定披露主体检索入口，不证明PCB主营、厂址或中国大陆产能；须补年报主营段并由人工裁决。"
cand:l1a-cn-002815,issuer,issuer:CN:002815,issuer:CN:002815,-,-,-,崇达技术,L1-A,巨潮资讯法定披露检索入口（主体索引）,https://www.cninfo.com.cn/new/fulltextSearch?keyWord=002815,2026-08-28,待核,l1a:CN:002815,无,不适用,FAB1/PCB裸板候选；不得入统计,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""002815""；判定类别=L1-A种子/待人工裁决。该锚仅证明法定披露主体检索入口，不证明PCB主营、厂址或中国大陆产能；须补年报主营段并由人工裁决。"
cand:l1a-cn-002913,issuer,issuer:CN:002913,issuer:CN:002913,-,-,-,奥士康,L1-A,巨潮资讯法定披露检索入口（主体索引）,https://www.cninfo.com.cn/new/fulltextSearch?keyWord=002913,2026-08-28,待核,l1a:CN:002913,无,不适用,FAB1/PCB裸板候选；不得入统计,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""002913""；判定类别=L1-A种子/待人工裁决。该锚仅证明法定披露主体检索入口，不证明PCB主营、厂址或中国大陆产能；须补年报主营段并由人工裁决。"
cand:l1a-cn-603920,issuer,issuer:CN:603920,issuer:CN:603920,-,-,-,世运电路,L1-A,巨潮资讯法定披露检索入口（主体索引）,https://www.cninfo.com.cn/new/fulltextSearch?keyWord=603920,2026-08-28,待核,l1a:CN:603920,无,不适用,FAB1/PCB裸板候选；不得入统计,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""603920""；判定类别=L1-A种子/待人工裁决。该锚仅证明法定披露主体检索入口，不证明PCB主营、厂址或中国大陆产能；须补年报主营段并由人工裁决。"
cand:l1a-cn-603328,issuer,issuer:CN:603328,issuer:CN:603328,-,-,-,依顿电子,L1-A,巨潮资讯法定披露检索入口（主体索引）,https://www.cninfo.com.cn/new/fulltextSearch?keyWord=603328,2026-08-28,待核,l1a:CN:603328,无,不适用,FAB1/PCB裸板候选；不得入统计,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""603328""；判定类别=L1-A种子/待人工裁决。该锚仅证明法定披露主体检索入口，不证明PCB主营、厂址或中国大陆产能；须补年报主营段并由人工裁决。"
cand:l1a-cn-603936,issuer,issuer:CN:603936,issuer:CN:603936,-,-,-,博敏电子,L1-A,巨潮资讯法定披露检索入口（主体索引）,https://www.cninfo.com.cn/new/fulltextSearch?keyWord=603936,2026-08-28,待核,l1a:CN:603936,无,不适用,FAB1/PCB裸板候选；不得入统计,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""603936""；判定类别=L1-A种子/待人工裁决。该锚仅证明法定披露主体检索入口，不证明PCB主营、厂址或中国大陆产能；须补年报主营段并由人工裁决。"
cand:l1a-cn-002579,issuer,issuer:CN:002579,issuer:CN:002579,-,-,-,中京电子,L1-A,巨潮资讯法定披露检索入口（主体索引）,https://www.cninfo.com.cn/new/fulltextSearch?keyWord=002579,2026-08-28,待核,l1a:CN:002579,无,不适用,FAB1/PCB裸板候选；不得入统计,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""002579""；判定类别=L1-A种子/待人工裁决。该锚仅证明法定披露主体检索入口，不证明PCB主营、厂址或中国大陆产能；须补年报主营段并由人工裁决。"
cand:l1a-cn-002436,issuer,issuer:CN:002436,issuer:CN:002436,-,-,-,兴森科技,L1-A,巨潮资讯法定披露检索入口（主体索引）,https://www.cninfo.com.cn/new/fulltextSearch?keyWord=002436,2026-08-28,待核,l1a:CN:002436,无,不适用,FAB1/PCB裸板候选；不得入统计,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""002436""；判定类别=L1-A种子/待人工裁决。该锚仅证明法定披露主体检索入口，不证明PCB主营、厂址或中国大陆产能；须补年报主营段并由人工裁决。"
cand:l1a-cn-300739,issuer,issuer:CN:300739,issuer:CN:300739,-,-,-,明阳电路,L1-A,巨潮资讯法定披露检索入口（主体索引）,https://www.cninfo.com.cn/new/fulltextSearch?keyWord=300739,2026-08-28,待核,l1a:CN:300739,无,不适用,FAB1/PCB裸板候选；不得入统计,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""300739""；判定类别=L1-A种子/待人工裁决。该锚仅证明法定披露主体检索入口，不证明PCB主营、厂址或中国大陆产能；须补年报主营段并由人工裁决。"
cand:l1a-cn-301282,issuer,issuer:CN:301282,issuer:CN:301282,-,-,-,金禄电子,L1-A,巨潮资讯法定披露检索入口（主体索引）,https://www.cninfo.com.cn/new/fulltextSearch?keyWord=301282,2026-08-28,待核,l1a:CN:301282,无,不适用,FAB1/PCB裸板候选；不得入统计,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""301282""；判定类别=L1-A种子/待人工裁决。该锚仅证明法定披露主体检索入口，不证明PCB主营、厂址或中国大陆产能；须补年报主营段并由人工裁决。"
cand:l1a-cn-300852,issuer,issuer:CN:300852,issuer:CN:300852,-,-,-,四会富仕,L1-A,巨潮资讯法定披露检索入口（主体索引）,https://www.cninfo.com.cn/new/fulltextSearch?keyWord=300852,2026-08-28,待核,l1a:CN:300852,无,不适用,FAB1/PCB裸板候选；不得入统计,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""300852""；判定类别=L1-A种子/待人工裁决。该锚仅证明法定披露主体检索入口，不证明PCB主营、厂址或中国大陆产能；须补年报主营段并由人工裁决。"
cand:l1a-cn-300964,issuer,issuer:CN:300964,issuer:CN:300964,-,-,-,本川智能,L1-A,巨潮资讯法定披露检索入口（主体索引）,https://www.cninfo.com.cn/new/fulltextSearch?keyWord=300964,2026-08-28,待核,l1a:CN:300964,无,不适用,FAB1/PCB裸板候选；不得入统计,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""300964""；判定类别=L1-A种子/待人工裁决。该锚仅证明法定披露主体检索入口，不证明PCB主营、厂址或中国大陆产能；须补年报主营段并由人工裁决。"
cand:l1a-cn-301132,issuer,issuer:CN:301132,issuer:CN:301132,-,-,-,满坤科技,L1-A,巨潮资讯法定披露检索入口（主体索引）,https://www.cninfo.com.cn/new/fulltextSearch?keyWord=301132,2026-08-28,待核,l1a:CN:301132,无,不适用,FAB1/PCB裸板候选；不得入统计,"四件套：URL=source_url；检索日=2026-08-28；命中引语=""301132""；判定类别=L1-A种子/待人工裁决。该锚仅证明法定披露主体检索入口，不证明PCB主营、厂址或中国大陆产能；须补年报主营段并由人工裁决。"
