claim_id,statement,scope,claim_class,verdict,confidence,subject_concept_id,conversation_turn_id,verification_note
CLM-001,PCB 是用于机械承载元件并以导电图形实现电连接的印刷电路板,通用定义,definition,supported,high,CON-PCB,14454142-e1ef-4c15-94e6-fb5cfe9459ff,NASA 标准直接支持且机械承载限于支撑基板语义
CLM-002,裸 PCB 与已完成元件装联的 PCBA 不是同一制造状态,通用定义,definition,supported,high,CON-PCBA,5b5c765f-9699-40a5-86c6-f02308cf175e,NASA 与 IPC 独立定义共同支持
CLM-003,CCL 是 PCB 制造的板厂投入材料而 PCB 是经图形与孔互连等加工后的成品裸板,通用定义,definition,supported,high,CON-CCL,14454142-e1ef-4c15-94e6-fb5cfe9459ff,NASA 材料与制造流程支持
CLM-004,典型刚性玻纤增强 CCL 主要由铜箔树脂体系和玻纤布构成,典型刚性玻纤增强 CCL,definition,supported,high,CON-CCL,c7353835-1fd8-46e1-acca-f5d8eab3c94f,仅在典型刚性玻纤增强范围内成立
CLM-005,并非所有 CCL 都使用玻纤布增强,CCL 全体,negative_constraint,supported,high,CON-CCL,2e98bb28-1fab-4ddb-a3c1-06ad8fff9823,DuPont 全聚酰亚胺覆铜材料提供产品反例
CLM-006,Core 强调完全固化且具有固定厚度的芯层材料而不要求已经形成内层线路,多层 PCB 材料形态,definition,supported,high,CON-CORE,2e98bb28-1fab-4ddb-a3c1-06ad8fff9823,Isola 明确区分完全固化 laminate 与线路加工状态
CLM-007,Prepreg 在压合前处于可在加热加压下流动并进一步固化的材料状态,多层 PCB 材料形态,definition,supported,high,CON-PREPREG,5b5c765f-9699-40a5-86c6-f02308cf175e,Isola 工艺指南直接支持
CLM-008,同类玻纤布布种可以用于制造 core 和 prepreg,玻纤增强层压材料,application_observation,supported,high,CON-GLASS-CLOTH,e1f23ebe-fdd3-45ca-bc83-946a73197baf,Isola 同一测试结构的 1080 实例直接支持
CLM-009,Core 与 prepreg 的整体材料状态和加工要求不同不等于玻纤布本身必然不同,玻纤增强层压材料,negative_constraint,partially_supported,high,CON-GLASS-CLOTH,e1f23ebe-fdd3-45ca-bc83-946a73197baf,共同 glass style 获证但材料整体状态仍不同
CLM-010,典型多层 PCB 制造包含内层图形压合钻孔孔金属化外层图形阻焊表面处理成型与测试,典型多层刚性 PCB,process,supported,high,CON-MULTILAYER,5b5c765f-9699-40a5-86c-f02308cf175e,NASA 与 TTM 流程交叉支持且不泛化到全部路线
CLM-011,孔金属化在绝缘孔壁形成导电层以连接不同铜层,典型镀通孔 PCB,process,supported,high,CON-VIA,5b5c765f-9699-40a5-86c-f02308cf175e,ECSS 标准定义直接支持
CLM-012,增加层数可以增加可用布线层并容纳更多互连,多层 PCB,generic_mechanism,supported,medium,CON-MULTILAYER,5516013d-d49e-43cc-81ca-c279b93e4c3b,一般规律成立但不等于具体产品层数
CLM-013,高速信号层邻近连续参考平面有助于形成受控回流路径和阻抗,高速多层 PCB,generic_mechanism,supported,high,CON-GROUND-PLANE,5516013d-d49e-43cc-81ca-c279b93e4c3b,TI 高速设计指南直接支持
CLM-014,用参考平面隔离和合理层叠可以降低某些串扰与电磁耦合,高速多层 PCB,generic_mechanism,supported,high,CON-CROSSTALK,5516013d-d49e-43cc-81ca-c279b93e4c3b,结果仍依赖几何频率和拓扑
CLM-015,高速数字走线需要按传输线而非理想导线处理,高速互连,generic_mechanism,supported,high,CON-IMPEDANCE,6ad6bdde-839b-4f3d-9cfe-4ab53d5bb50d,TI 高速接口指南直接支持
CLM-016,介质损耗会随材料损耗特性和频率等条件影响高速链路插入损耗,高速互连,generic_mechanism,supported,high,CON-DIELECTRIC-LOSS,73e3cab4-4ce7-4e77-a3cc-44c6c8bbc193,NIST 测量模型与 Isola 材料资料共同支持
