origin_source_id,carrier_url,independence_group,paywall,coverage_scope,source_role,publisher_name,source_tier,recorded_at,recorded_by,review_status,reviewed_at,review_note,t1_bearing_decision,t1_bearing_decided_by,t1_bearing_decided_at
t1-cninfo-disclosure,https://www.cninfo.com.cn/new/index,cninfo,no,中国A股法定信息披露入口,direct,深圳证券信息有限公司/巨潮资讯,T1资格候选,2026-08-28,Terra,已人工复核,2026-08-28,"四件套：URL=carrier_url；检索日=2026-08-28；命中引语=""证监会指定""；判定类别=T1资格候选/待人工裁决。仅拟用于原始公告与定期报告，不以索引页替代公告原文。 H2 人闸仅按 coverage_scope 与本条 review_note 批准；索引/导航页不得替代实际文件。",人工允许,user,2026-08-28
t1-sse-disclosure,https://www.sse.com.cn/disclosure/listedinfo/regular/,sse,no,上交所上市公司定期报告,direct,上海证券交易所,T1资格候选,2026-08-28,Terra,已人工复核,2026-08-28,"四件套：URL=carrier_url；检索日=2026-08-28；命中引语=""定期报告""；判定类别=T1资格候选/待人工裁决。拟用于上交所原始披露，需逐文档核发行主体及版本。 H2 人闸仅按 coverage_scope 与本条 review_note 批准；索引/导航页不得替代实际文件。",人工允许,user,2026-08-28
t1-szse-disclosure,https://www.szse.cn/disclosure/listed/notice/index.html,szse,no,深交所上市公司法定披露,direct,深圳证券交易所,T1资格候选,2026-08-28,Terra,已人工复核,2026-08-28,"四件套：URL=carrier_url；检索日=2026-08-28；命中引语=""信息披露""；判定类别=T1资格候选/待人工裁决。拟用于深交所原始披露，需逐文档核发行主体及版本。 H2 人闸仅按 coverage_scope 与本条 review_note 批准；索引/导航页不得替代实际文件。",人工允许,user,2026-08-28
t1-twse-openapi-listed,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,twse,no,台湾上市发行人完整机械母集,direct,台湾证券交易所,T1资格候选,2026-08-28,Terra,已人工复核,2026-08-28,"四件套：URL=carrier_url；检索日=2026-08-28；命中引语=""上市公司基本資料""；判定类别=T1资格候选/待人工裁决。只拟承重发行人机械登记，不能承重PCB主营或中国大陆产能。 H2 人闸仅按 coverage_scope 与本条 review_note 批准；索引/导航页不得替代实际文件。",人工允许,user,2026-08-28
t1-tpex-openapi-otc,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_O,tpex,no,台湾上柜发行人完整机械母集,direct,证券柜台买卖中心,T1资格候选,2026-08-28,Terra,已人工复核,2026-08-28,"四件套：URL=carrier_url；检索日=2026-08-28；命中引语=""上櫃股票基本資料""；判定类别=T1资格候选/待人工裁决。只拟承重发行人机械登记，不能承重PCB主营或中国大陆产能。 H2 人闸仅按 coverage_scope 与本条 review_note 批准；索引/导航页不得替代实际文件。",人工允许,user,2026-08-28
t1-mops-company-filings,https://mops.twse.com.tw/mops/web/t120sb02_q10,mops,no,台湾上市柜公司原始申报及公司基本资料,direct,公开资讯观测站,T1资格候选,2026-08-28,Terra,已人工复核,2026-08-28,"四件套：URL=carrier_url；检索日=2026-08-28；命中引语=""公司基本資料""；判定类别=T1资格候选/待人工裁决。拟用于逐家公司申报原文；不可把导航页当作事实锚。 H2 人闸仅按 coverage_scope 与本条 review_note 批准；索引/导航页不得替代实际文件。",人工允许,user,2026-08-28
t1-hkexnews-title-search,https://www1.hkexnews.hk/search/titlesearch.xhtml?category=0&market=SEHK&stockId=256,hkexnews,no,香港上市公司法定披露,direct,HKEXnews,T1资格候选,2026-08-28,Terra,已人工复核,2026-08-28,"四件套：URL=carrier_url；检索日=2026-08-28；命中引语=""Annual Report""；判定类别=T1资格候选/待人工裁决。拟用于原始公告/年报；标题检索结果不能替代正文证据。 H2 人闸仅按 coverage_scope 与本条 review_note 批准；索引/导航页不得替代实际文件。",人工允许,user,2026-08-28
t1-hkex-di,https://di.hkex.com.hk/di/NSSrchCorpList.aspx?src=MAIN&lang=EN,hkex-di,no,香港披露权益原始申报检索入口,direct,香港交易及结算所有限公司,T1资格候选,2026-08-28,Terra,已人工复核,2026-08-28,"四件套：URL=carrier_url；检索日=2026-08-28；命中引语=""Search by listed corporation""；判定类别=T1资格候选/待人工裁决。仅拟用于逐份权益申报的证券身份/权益关系；个案 filing URL 必须另存，不承重主营或产能。 H2 人闸仅按 coverage_scope 与本条 review_note 批准；索引/导航页不得替代实际文件。",人工允许,user,2026-08-28
t1-miit-pcb-norm-list,https://www.miit.gov.cn/cms_files/filemanager/1226211233/attach/202410/c25aa3b2801f40118878f5fce4ba522d.pdf,miit,no,印制电路板行业规范条件企业及产品类型,direct,工业和信息化部,T1资格候选,2026-08-28,Terra,已人工复核,2026-08-28,"四件套：URL=carrier_url；检索日=2026-08-28；命中引语=""印制电路板行业""；判定类别=T1资格候选/待人工裁决。拟用于企业/产品类型候选交叉验证，不以名单替代发行主体或厂址映射。 H2 人闸仅按 coverage_scope 与本条 review_note 批准；索引/导航页不得替代实际文件。",人工允许,user,2026-08-28
t1-sz-eco-registry,https://www.sz.gov.cn/attachment/1/1618/1618140/12340920.pdf,sz-eco,no,深圳环境监管重点单位及统一社会信用代码,direct,深圳市生态环境局,T1资格候选,2026-08-28,Terra,已人工复核,2026-08-28,"四件套：URL=carrier_url；检索日=2026-08-28；命中引语=""深圳市深联电路""；判定类别=T1资格候选/待人工裁决。拟用于法人识别与监管存在，不以行业字段替代裸板/载板边界或产能。 H2 人闸仅按 coverage_scope 与本条 review_note 批准；索引/导航页不得替代实际文件。",人工允许,user,2026-08-28
