decision_id,decision_type,action,entity_type,entity_id,issuer_id,legal_entity_id,plant_id,group_id,name,layer,registration_source,inclusion_reason,exclusion_reason,evidence_anchor,source_url,query_date,decision_owner,decision_date,decision_status,double_count_key,notes
h3-include-0001,manual_include,include,issuer,issuer:CN:002463,issuer:CN:002463,-,-,-,沪电股份,L1-A,H3 人闸批准的发行人原始披露锚,先入正式分母，再允许对应 point 或披露快照进入正式账本,-,human-gate://2026-08-28/H3/issuer:CN:002463,https://static.cninfo.com.cn/finalpage/2025-03-26/1222896592.PDF,2026-08-28,user,2026-08-28,已裁决,l1a:CN:002463,H3 人闸批准；仅在本行 product_scope 内有效。
h3-include-0002,manual_include,include,issuer,issuer:CN:300476,issuer:CN:300476,-,-,-,胜宏科技,L1-A,H3 人闸批准的发行人原始披露锚,先入正式分母，再允许对应 point 或披露快照进入正式账本,-,human-gate://2026-08-28/H3/issuer:CN:300476,https://static.cninfo.com.cn/finalpage/2025-03-29/1222949182.PDF,2026-08-28,user,2026-08-28,已裁决,l1a:CN:300476,H3 人闸批准；仅在本行 product_scope 内有效。
h3-include-0003,manual_include,include,issuer,issuer:CN:688183,issuer:CN:688183,-,-,-,生益电子,L1-A,H3 人闸批准的发行人原始披露锚,先入正式分母，再允许对应 point 或披露快照进入正式账本,-,human-gate://2026-08-28/H3/issuer:CN:688183,https://static.cninfo.com.cn/finalpage/2025-03-28/1222921458.PDF,2026-08-28,user,2026-08-28,已裁决,l1a:CN:688183,H3 人闸批准；仅在本行 product_scope 内有效。
h3-include-0004,manual_include,include,issuer,issuer:CN:600183,issuer:CN:600183,-,-,-,生益科技,L1-B,H3 人闸批准的发行人原始披露锚,先入正式分母，再允许对应 point 或披露快照进入正式账本,-,human-gate://2026-08-28/H3/issuer:CN:600183,https://static.cninfo.com.cn/finalpage/2025-03-29/1222952359.PDF,2026-08-28,user,2026-08-28,已裁决,l1b:CN:600183,H3 人闸批准；仅在本行 product_scope 内有效。
h3-include-0005,manual_include,include,issuer,issuer:CN:603256,issuer:CN:603256,-,-,-,宏和科技,L1-B,H3 人闸批准的发行人原始披露锚,先入正式分母，再允许对应 point 或披露快照进入正式账本,-,human-gate://2026-08-28/H3/issuer:CN:603256,https://static.cninfo.com.cn/finalpage/2025-08-28/1224595204.PDF,2026-08-28,user,2026-08-28,已裁决,l1b:CN:603256,H3 人闸批准；仅在本行 product_scope 内有效。
h3-include-0006,manual_include,include,issuer,issuer:CN:601208,issuer:CN:601208,-,-,-,东材科技,L1-B,H3 人闸批准的发行人原始披露锚,先入正式分母，再允许对应 point 或披露快照进入正式账本,-,human-gate://2026-08-28/H3/issuer:CN:601208,https://static.cninfo.com.cn/finalpage/2025-04-25/1223283844.PDF,2026-08-28,user,2026-08-28,已裁决,l1b:CN:601208,H3 人闸批准；仅在本行 product_scope 内有效。
h3-include-0007,manual_include,include,issuer,issuer:CN:301200,issuer:CN:301200,-,-,-,大族数控,L1-C,H3 人闸批准的发行人原始披露锚,先入正式分母，再允许对应 point 或披露快照进入正式账本,-,human-gate://2026-08-28/H3/issuer:CN:301200,https://static.cninfo.com.cn/finalpage/2025-04-21/1223153294.PDF,2026-08-28,user,2026-08-28,已裁决,l1c:CN:301200,H3 人闸批准；仅在本行 product_scope 内有效。
h3-include-0008,manual_include,include,issuer,issuer:CN:688700,issuer:CN:688700,-,-,-,东威科技,L1-C,H3 人闸批准的发行人原始披露锚,先入正式分母，再允许对应 point 或披露快照进入正式账本,-,human-gate://2026-08-28/H3/issuer:CN:688700,https://static.cninfo.com.cn/finalpage/2025-04-26/1223322879.PDF,2026-08-28,user,2026-08-28,已裁决,l1c:CN:688700,H3 人闸批准；仅在本行 product_scope 内有效。
h3-include-0009,manual_include,include,issuer,issuer:CN:688630,issuer:CN:688630,-,-,-,芯碁微装,L1-C,H3 人闸批准的发行人原始披露锚,先入正式分母，再允许对应 point 或披露快照进入正式账本,-,human-gate://2026-08-28/H3/issuer:CN:688630,https://static.cninfo.com.cn/finalpage/2025-04-24/1223241180.PDF,2026-08-28,user,2026-08-28,已裁决,l1c:CN:688630,H3 人闸批准；仅在本行 product_scope 内有效。
h3-include-0010,manual_include,include,issuer,issuer:CN:603328,issuer:CN:603328,-,-,-,依顿电子,L1-A,H3 人闸批准的发行人原始披露锚,先入正式分母，再允许对应 point 或披露快照进入正式账本,-,human-gate://2026-08-28/H3/issuer:CN:603328,https://zsepb.zs.gov.cn/xxml/ztzl/gcjslyxmxx/ssthjjhpspgs/spqgs/content/post_2457618.html,2026-08-28,user,2026-08-28,已裁决,l1a:CN:603328,H3 人闸批准；仅在本行 product_scope 内有效。
